timestamp,client_ip,traffic_in,traffic_out,protocols
2025-09-25 00:17:13,224.0.0.251,0,998,"{""UDP"": 998}"
2025-09-25 00:17:13,192.168.0.3,841,436,"{""TCP"": 764, ""UDP"": 513}"
2025-09-25 00:17:13,192.168.0.1,408,0,"{""UDP"": 408}"
2025-09-25 00:17:13,18.205.228.32,60,90,"{""TCP"": 150}"
2025-09-25 00:17:13,181.213.132.3,1094,1113,"{""TCP"": 2207}"
2025-09-25 00:17:13,192.168.0.255,0,126,"{""UDP"": 126}"
2025-09-25 00:17:19,13.89.178.27,5715,3091,"{""TCP"": 8806}"
2025-09-25 00:17:19,181.213.132.3,2684,2229,"{""TCP"": 4913}"
2025-09-25 00:17:19,192.168.0.3,328,436,"{""TCP"": 764}"
2025-09-25 00:17:19,140.82.114.26,140,84,"{""TCP"": 224}"
2025-09-25 00:17:19,192.168.0.255,0,126,"{""UDP"": 126}"
2025-09-25 00:17:19,172.104.24.90,88,54,"{""TCP"": 142}"
2025-09-25 00:17:19,239.255.255.250,0,143,"{""UDP"": 143}"
2025-09-25 00:17:19,192.168.0.1,354,0,"{""UDP"": 354}"
2025-09-25 00:17:19,18.97.36.59,60,198,"{""TCP"": 258}"
2025-09-25 00:17:19,128.14.249.220,1430,2635,"{""TCP"": 4065}"
2025-09-25 00:17:19,3.226.166.129,138,54,"{""TCP"": 192}"
